Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Physical Unit No.,Unit Size (MW),Aggregation,DUID,Reg Cap (MW),Max Cap (MW),Max ROC/Min,DUIDUn,Reg Cap,Inertia Constant per Unit,Inertia,Units,Technology Descriptor,Comments,Unit hard code,DUID Hardcode
AGL Hydro Partnership,Suncoast Gold Macadamias,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Macadamia Nut Shells,Combustion,Steam Sub-Critical,1,1.5,N,SUNCOAST,1.5,1,0,SUNCOAST,1.5,6,9,1,Steam Sub-Critical,,TRUE,TRUE
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,1,560,N,LYA1,560,590,118,LYA1,560,6,3360,1,Steam Sub-Critical,,TRUE,TRUE
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,2,530,N,LYA2,530,535,108,LYA2,530,6,3180,1,Steam Sub-Critical,,TRUE,TRUE
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,3,560,N,LYA3,560,590,118,LYA3,560,6,3360,1,Steam Sub-Critical,,TRUE,TRUE
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,4,560,N,LYA4,560,580,116,LYA4,560,6,3360,1,Steam Sub-Critical,,TRUE,TRUE
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,660,N,BW01,660,700,140,BW01,660,6,3960,1,Steam Sub-Critical,,TRUE,TRUE
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,660,N,BW02,660,700,140,BW02,660,6,3960,1,Steam Sub-Critical,,TRUE,TRUE
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,3,660,N,BW03,660,700,140,BW03,660,6,3960,1,Steam Sub-Critical,,TRUE,TRUE
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,4,660,N,BW04,660,700,140,BW04,660,6,3960,1,Steam Sub-Critical,,TRUE,TRUE
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,500,N,LD01,500,550,110,LD01,500,6,3000,1,Steam Sub-Critical,,TRUE,TRUE
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,500,N,LD02,500,550,110,LD02,500,6,3000,1,Steam Sub-Critical,,TRUE,TRUE
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,3,500,N,LD03,500,550,110,LD03,500,6,3000,1,Steam Sub-Critical,,TRUE,TRUE
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,4,500,N,LD04,500,550,110,LD04,500,6,3000,1,Steam Sub-Critical,,TRUE,TRUE
AGL SA Generation Pty Limited ,"Torrens Island Power Station ""A""",SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,1,120,N,TORRA1,120,120,20,TORRA1,120,6,720,1,Steam Sub-Critical,,TRUE,TRUE
AGL SA Generation Pty Limited ,"Torrens Island Power Station ""A""",SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,2,120,N,TORRA2,120,120,20,TORRA2,120,6,720,1,Steam Sub-Critical,,TRUE,TRUE
AGL SA Generation Pty Limited ,"Torrens Island Power Station ""A""",SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,3,120,N,TORRA3,120,120,15,TORRA3,120,6,720,1,Steam Sub-Critical,,TRUE,TRUE
AGL SA Generation Pty Limited ,"Torrens Island Power Station ""A""",SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,4,120,N,TORRA4,120,120,15,TORRA4,120,6,720,1,Steam Sub-Critical,,TRUE,TRUE
AGL SA Generation Pty Limited ,"Torrens Island Power Station ""B""",SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,1,200,N,TORRB1,200,210,20,TORRB1,200,6,1200,1,Steam Sub-Critical,,TRUE,TRUE
AGL SA Generation Pty Limited ,"Torrens Island Power Station ""B""",SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,2,200,N,TORRB2,200,210,20,TORRB2,200,6,1200,1,Steam Sub-Critical,,TRUE,TRUE
AGL SA Generation Pty Limited ,"Torrens Island Power Station ""B""",SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,3,200,N,TORRB3,200,210,20,TORRB3,200,6,1200,1,Steam Sub-Critical,,TRUE,TRUE
AGL SA Generation Pty Limited ,"Torrens Island Power Station ""B""",SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,4,200,N,TORRB4,200,210,20,TORRB4,200,6,1200,1,Steam Sub-Critical,,TRUE,TRUE
CS Energy Limited,Callide A Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,4,30,N,CALL_A_4,30,30,6,CALL_A_4,30,6,180,1,Steam Sub-Critical,,TRUE,TRUE
CS Energy Limited,Callide B Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,350,N,CALL_B_1,350,385,77,CALL_B_1,350,6,2100,1,Steam Sub-Critical,,TRUE,TRUE
CS Energy Limited,Callide B Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,350,N,CALL_B_2,350,385,77,CALL_B_2,350,6,2100,1,Steam Sub-Critical,,TRUE,TRUE
CS Energy Limited,Gladstone Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,280,N,GSTONE1,280,285,57,GSTONE1,280,6,1680,1,Steam Sub-Critical,,TRUE,TRUE
CS Energy Limited,Gladstone Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,280,N,GSTONE2,280,285,57,GSTONE2,280,6,1680,1,Steam Sub-Critical,,TRUE,TRUE
CS Energy Limited,Gladstone Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,3,280,N,GSTONE3,280,285,57,GSTONE3,280,6,1680,1,Steam Sub-Critical,,TRUE,TRUE
CS Energy Limited,Gladstone Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,4,280,N,GSTONE4,280,285,57,GSTONE4,280,6,1680,1,Steam Sub-Critical,,TRUE,TRUE
CS Energy Limited,Gladstone Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,5,280,N,GSTONE5,280,285,57,GSTONE5,280,6,1680,1,Steam Sub-Critical,,TRUE,TRUE
CS Energy Limited,Gladstone Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,6,280,N,GSTONE6,280,285,57,GSTONE6,280,6,1680,1,Steam Sub-Critical,,TRUE,TRUE
Ecogen Energy Pty Ltd,Newport Power Station,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Steam Sub-Critical,1,500,N,NPS,500,510,20,NPS,500,6,3000,1,Steam Sub-Critical,,TRUE,TRUE
Energy Brix Australia Corporation Pty Ltd,Energy Brix Complex Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,1,24,Y,MOR1,90,90,18,MOR1,90,6,540,3,Steam Sub-Critical,,FALSE,TRUE
Energy Brix Australia Corporation Pty Ltd,Energy Brix Complex Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,3-Apr,33,Y,MOR1,-,-,0,NA,,6,0,,Steam Sub-Critical,,#VALUE!,FALSE
Energy Brix Australia Corporation Pty Ltd,Energy Brix Complex Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,2,30,N,MOR2,30,30,6,MOR2,30,6,180,1,Steam Sub-Critical,,TRUE,TRUE
Energy Brix Australia Corporation Pty Ltd,Energy Brix Complex Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,5,75,N,MOR3,75,75,15,MOR3,75,6,450,1,Steam Sub-Critical,,TRUE,TRUE
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,700,N,MP1,700,700,25,MP1,700,6,4200,1,Steam Sub-Critical,,TRUE,TRUE
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,700,N,MP2,700,700,25,MP2,700,6,4200,1,Steam Sub-Critical,,TRUE,TRUE
EnergyAustralia Yallourn Pty Ltd,Yallourn W Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,1,360,N,YWPS1,360,395,79,YWPS1,360,6,2160,1,Steam Sub-Critical,,TRUE,TRUE
EnergyAustralia Yallourn Pty Ltd,Yallourn W Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,2,360,N,YWPS2,360,380,76,YWPS2,360,6,2160,1,Steam Sub-Critical,,TRUE,TRUE
EnergyAustralia Yallourn Pty Ltd,Yallourn W Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,3,380,N,YWPS3,380,405,81,YWPS3,380,6,2280,1,Steam Sub-Critical,,TRUE,TRUE
EnergyAustralia Yallourn Pty Ltd,Yallourn W Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,4,380,N,YWPS4,380,405,81,YWPS4,380,6,2280,1,Steam Sub-Critical,,TRUE,TRUE
Flinders Operating Services Pty Ltd,Northern Power Station,SA1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,1,265,N,NPS1,265,273,7,NPS1,265,6,1590,1,Steam Sub-Critical,,TRUE,TRUE
Flinders Operating Services Pty Ltd,Northern Power Station,SA1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,2,265,N,NPS2,265,273,7,NPS2,265,6,1590,1,Steam Sub-Critical,,TRUE,TRUE
Flinders Operating Services Pty Ltd,Playford B Power Station,SA1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,1-Apr,60,Y,PLAYB-AG,240,252,3,PLAYB-AG,240,6,1440,4,Steam Sub-Critical,,TRUE,TRUE
Hazelwood Power,Hazelwood Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,1,200,N,HWPS1,200,220,2,HWPS1,200,6,1200,1,Steam Sub-Critical,,TRUE,TRUE
Hazelwood Power,Hazelwood Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,2,200,N,HWPS2,200,220,2,HWPS2,200,6,1200,1,Steam Sub-Critical,,TRUE,TRUE
Hazelwood Power,Hazelwood Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,3,200,N,HWPS3,200,220,2,HWPS3,200,6,1200,1,Steam Sub-Critical,,TRUE,TRUE
Hazelwood Power,Hazelwood Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,4,200,N,HWPS4,200,220,2,HWPS4,200,6,1200,1,Steam Sub-Critical,,TRUE,TRUE
Hazelwood Power,Hazelwood Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,5,200,N,HWPS5,200,220,2,HWPS5,200,6,1200,1,Steam Sub-Critical,,TRUE,TRUE
Hazelwood Power,Hazelwood Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,6,200,N,HWPS6,200,220,2,HWPS6,200,6,1200,1,Steam Sub-Critical,,TRUE,TRUE
Hazelwood Power,Hazelwood Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,7,200,N,HWPS7,200,220,2,HWPS7,200,6,1200,1,Steam Sub-Critical,,TRUE,TRUE
Hazelwood Power,Hazelwood Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,8,200,N,HWPS8,200,220,2,HWPS8,200,6,1200,1,Steam Sub-Critical,,TRUE,TRUE
IPM Australia Limited ,Loy Yang B Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,1,500,N,LOYYB1,500,600,25,LOYYB1,500,6,3000,1,Steam Sub-Critical,,TRUE,TRUE
IPM Australia Limited ,Loy Yang B Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,2,500,N,LOYYB2,500,600,25,LOYYB2,500,6,3000,1,Steam Sub-Critical,,TRUE,TRUE
Mackay Sugar Limited,Racecourse Mill,QLD1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1,3.5,N,-,3.5,48,0,NA,,6,0,1,Steam Sub-Critical,,TRUE,FALSE
Mackay Sugar Limited,Racecourse Mill,QLD1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,2,7,N,-,7,-,0,NA,,6,0,1,Steam Sub-Critical,,TRUE,FALSE
Mackay Sugar Limited,Racecourse Mill,QLD1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,3,38,N,-,38,-,0,NA,,6,0,1,Steam Sub-Critical,,TRUE,FALSE
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,720,N,ER01,720,750,20,ER01,720,6,4320,1,Steam Sub-Critical,,TRUE,TRUE
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,720,N,ER02,720,750,20,ER02,720,6,4320,1,Steam Sub-Critical,,TRUE,TRUE
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,3,720,N,ER03,720,750,20,ER03,720,6,4320,1,Steam Sub-Critical,,TRUE,TRUE
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,4,720,N,ER04,720,750,20,ER04,720,6,4320,1,Steam Sub-Critical,,TRUE,TRUE
Pioneer Sugar Mills Pty Ltd,Pioneer Sugar Mill,QLD1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1,30.86,N,-,30.86,68,0,PIONEER,,6,0,,Steam Sub-Critical,,FALSE,FALSE
Pioneer Sugar Mills Pty Ltd,Pioneer Sugar Mill,QLD1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,2,36.92,N,-,36.92,-,0,NA,,6,0,,Steam Sub-Critical,,FALSE,FALSE
Stanwell Corporation Limited,Stanwell Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,365,N,STAN-1,365,385,77,STAN-1,365,6,2190,1,Steam Sub-Critical,,TRUE,TRUE
Stanwell Corporation Limited,Stanwell Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,365,N,STAN-2,365,385,77,STAN-2,365,6,2190,1,Steam Sub-Critical,,TRUE,TRUE
Stanwell Corporation Limited,Stanwell Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,3,365,N,STAN-3,365,385,77,STAN-3,365,6,2190,1,Steam Sub-Critical,,TRUE,TRUE
Stanwell Corporation Limited,Stanwell Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,4,365,N,STAN-4,365,385,77,STAN-4,365,6,2190,1,Steam Sub-Critical,,TRUE,TRUE
Stanwell Corporation Limited,Tarong Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,350,N,TARONG#1,350,385,77,TARONG#1,350,6,2100,1,Steam Sub-Critical,,TRUE,TRUE
Stanwell Corporation Limited,Tarong Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,350,N,TARONG#2,350,385,77,TARONG#2,350,6,2100,1,Steam Sub-Critical,,TRUE,TRUE
Stanwell Corporation Limited,Tarong Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,3,350,N,TARONG#3,350,385,77,TARONG#3,350,6,2100,1,Steam Sub-Critical,,TRUE,TRUE
Stanwell Corporation Limited,Tarong Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,4,350,N,TARONG#4,350,385,77,TARONG#4,350,6,2100,1,Steam Sub-Critical,,TRUE,TRUE
Sunset Power International Pty Ltd,"Vales Point ""B"" Power Station",NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,5,660,N,VP5,660,680,25,VP5,660,6,3960,1,Steam Sub-Critical,,TRUE,TRUE
Sunset Power International Pty Ltd,"Vales Point ""B"" Power Station",NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,6,660,N,VP6,660,680,25,VP6,660,6,3960,1,Steam Sub-Critical,,TRUE,TRUE
Wilmar Sugar Pty Ltd,Invicta Sugar Mill,QLD1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1,38.8,N,INVICTA,50,51,0,INVICTA,50,6,300,3,Steam Sub-Critical,,FALSE,TRUE
Wilmar Sugar Pty Ltd,Invicta Sugar Mill,QLD1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,2,9,N,INVICTA,50,51,0,NA,,6,0,,Steam Sub-Critical,,FALSE,FALSE
Wilmar Sugar Pty Ltd,Invicta Sugar Mill,QLD1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,3,2.5,N,INVICTA,50,51,0,NA,,6,0,,Steam Sub-Critical,,FALSE,FALSE
Callide Power Trading Pty Limited,Callide Power Plant,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,3,420,N,CPP_3,420,500,100,CPP_3,420,6,2520,1,Steam Super Critical,,TRUE,TRUE
Callide Power Trading Pty Limited,Callide Power Plant,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,4,420,N,CPP_4,420,500,100,CPP_4,420,6,2520,1,Steam Super Critical,,TRUE,TRUE
CS Energy Limited,Kogan Creek Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,1,744,N,KPP_1,744,781,157,KPP_1,744,6,4464,1,Steam Super Critical,,TRUE,TRUE
Millmerran Energy Trader Pty Ltd,Millmerran Power Plant,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,1,426,N,MPP_1,426,450,90,MPP_1,426,6,2556,1,Steam Super Critical,,TRUE,TRUE
Millmerran Energy Trader Pty Ltd,Millmerran Power Plant,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,2,426,N,MPP_2,426,450,90,MPP_2,426,6,2556,1,Steam Super Critical,,TRUE,TRUE
Stanwell Corporation Limited,Tarong North Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,1,450,N,TNPS1,443,480,96,TNPS1,443,6,2658,1,Steam Super Critical,,FALSE,TRUE
AGL Hydro Partnership,Hallett 1 Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-45,2.1,N,HALLWF1,94.5,95,30,HALLWF1,94.5,0,0,45,Wind - Onshore,,TRUE,TRUE
AGL Hydro Partnership,Hallett 2 Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-34,2.1,N,HALLWF2,71.4,71,30,HALLWF2,71.4,0,0,34,Wind - Onshore,,TRUE,TRUE
AGL Hydro Partnership,Macarthur Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-140,3,N,MACARTH1,420,420,90,MACARTH1,420,0,0,140,Wind - Onshore,,TRUE,TRUE
AGL Hydro Partnership,North Brown Hill Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-63,2.1,N,NBHWF1,132.3,132,30,NBHWF1,132.3,0,0,63,Wind - Onshore,,FALSE,TRUE
AGL Hydro Partnership,Oaklands Hill Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,32,2.1,N,OAKLAND1,67,63,30,OAKLAND1,67,0,0,32,Wind - Onshore,,FALSE,TRUE
AGL Hydro Partnership,The Bluff Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-25,2.1,N,BLUFF1,52.5,52.5,30,BLUFF1,52.5,0,0,25,Wind - Onshore,,TRUE,TRUE
AGL Hydro Partnership,Wattle Point Wind Farm,SA1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-55,1.65,N,WPWF,90.75,91,0,WPWF,90.75,0,0,55,Wind - Onshore,,TRUE,TRUE
Alinta Energy Retail Sales Pty Ltd,Bald Hills Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,.1-52,106.6,N,BALDHWF1,106.6,120,0,BALDHWF1,106.6,0,0,52,Wind - Onshore,,FALSE,TRUE
Boco Rock Wind Farm Pty Ltd,Boco Rock Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,.1-58,1.7,N,BOCORWF1,98.6,98.6,201,BOCORWF1,98.6,0,0,58,Wind - Onshore,,TRUE,TRUE
Boco Rock Wind Farm Pty Ltd,Boco Rock Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,59-67,1.62,N,BOCORWF1,14.58,14.58,201,NA,,0,0,9,Wind - Onshore,,TRUE,FALSE
Canunda Power Pty Ltd,Canunda Wind Farm,SA1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-23,2,N,-,46,46,0,CNUNDAWF,,0,0,23,Wind - Onshore,no DUID,TRUE,FALSE
Cathedral Rocks Wind Farm Pty Ltd,Cathedral Rocks Wind Farm,SA1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-33,2,N,CATHROCK,66,66,0,CATHROCK,66,0,0,33,Wind - Onshore,,TRUE,TRUE
Energy Pacific (Vic) Pty Ltd,Codrington Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-14,1.3,N,CODRNGTON,18.2,18,0,CODRNGTON,18.2,0,0,14,Wind - Onshore,,TRUE,TRUE
Energy Pacific (Vic) Pty Ltd,Yambuk Wind Farm ,VIC1,Generator ,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-20,1.5,N,YAMBUKWF,30,30,0,YAMBUKWF,30,0,0,20,Wind - Onshore,,TRUE,TRUE
Gunning Wind Energy Developments Pty Ltd,Gunning Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Wind,Wind - Onshore,Jan-31,2.1,N,GUNNING1,47,47,47,GUNNING1,47,0,0,22.38,Wind - Onshore,,TRUE,TRUE
Hydro-Electric Corporation trading as Hydro Tasmania,Musselroe Wind Farm,TAS1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-56,3,N,MUSSELR1,168,168,17,MUSSELR1,168,0,0,56,Wind - Onshore,,TRUE,TRUE
Hydro-Electric Corporation trading as Hydro Tasmania,Woolnorth Studland Bay / Bluff Point Wind Farm,TAS1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,WBP 1-37,1.75,Y,WOOLNTH1,140,140,0,WOOLNTH1,140,0,0,80,Wind - Onshore,,TRUE,TRUE
Hydro-Electric Corporation trading as Hydro Tasmania,Woolnorth Studland Bay / Bluff Point Wind Farm,TAS1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,WSB 1-25,3,Y,WOOLNTH1,-,-,0,NA,,0,0,,Wind - Onshore,,#VALUE!,FALSE
Infigen Energy Markets Pty Limited,Capital Wind Farm,NSW1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-67,2,N,CAPTL_WF,140,140,0,CAPTL_WF,140,0,0,70,Wind - Onshore,,TRUE,TRUE
Lake Bonney Wind Power Pty Ltd,Lake Bonney Wind Farm,SA1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-46,1.75,N,LKBONNY1,80.5,81,0,LKBONNY1,80.5,0,0,46,Wind - Onshore,,TRUE,TRUE
Lake Bonney Wind Power Pty Ltd,Lake Bonney Stage 2 Windfarm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-53,3,N,LKBONNY2,159,159,32,LKBONNY2,159,0,0,53,Wind - Onshore,,TRUE,TRUE
Lake Bonney Wind Power Pty Ltd,Lake Bonney Stage 3 Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-13,39,N,LKBONNY3,39,39,32,LKBONNY3,39,0,0,1,Wind - Onshore,,TRUE,TRUE
Mortons Lane Windfarm Pty Limited,Mortons Lane Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-13,1.5,N,MLWF1,20,20,0,MLWF1,20,0,0,13,Wind - Onshore,,FALSE,TRUE
Mt Mercer Windfarm Pty Ltd,Mt Mercer Windf Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-64,2.05,N,MERCER01,131,131,33,MERCER01,131,0,0,64,Wind - Onshore,,FALSE,TRUE
